@relation bankruptcy-spain-1998:2003

@attribute YEAR integer   %  FISCAL YEAR
@attribute SIZE {small,medium,big}   % SIZE
@attribute NUMBER_EMPLOYEES integer   % NUMBER OF EMPLOYEES
@attribute AGE integer   % AGE
@attribute SOCIAL_CODE {Co,Ltd,other}   % SOCIAL CODE OF THE COMPANY
@attribute LINKED_GROUP {no,yes}   % LINKED TO A GROUP
@attribute NUMBER_PARTNERS integer   % NUMBER OF PARTNERS
@attribute PROVINCE_CODE {1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,43,45,46,47,48,49,50,52}   % CODE OF PROVINCE
@attribute CHANGES_LOCATION integer   % NUMBER OF CHANGES OF LOCATION
@attribute DEBT_STRUCTURE numeric   % DEBT STRUCTURE
@attribute DEBT_COST numeric   % DEBT COST
@attribute DEBT_PAYING_AVAILABILITY numeric    % DEBT PAYING AVAILABILITY
@attribute DEBT_RATIO numeric   % DEBT RATIO
@attribute WORKING_CAPITAL numeric   % WORKING CAPITAL
@attribute WARRANTY numeric   % WARRANTY
@attribute OPERATING_INCOME_MARGIN numeric   % OPERATING INCOME MARGIN
@attribute RETURN_OPERATING_ASSETS numeric   % RETURN ON OPERATING ASSETS
@attribute RETURN_EQUITY numeric   % RETURN ON EQUITY
@attribute RETURN_ASSETS numeric   % RETURN ON ASSETS
@attribute STOCK_TURNOVER numeric   % STOCK TURNOVER
@attribute ASSET_TURNOVER numeric   % ASSET TURNOVER
@attribute RECEIVABLE_TURNOVER numeric   % RECEIVABLE TURNOVER
@attribute ASSET_ROTATION numeric   % ASSET ROTATION
@attribute FINANCIAL_SOLVENCY numeric   % FINANCIAL SOLVENCY (CURRENT RATIO)
@attribute ACID_TEST numeric   % ACID TEST
@attribute DELAY_ACCOUNTS {no,yes}   % DELAY (IN SENDING ITS ANNUAL ACCOUNTS)
@attribute NUMBER_JUDICIAL_INCIDENCES_TOTAL integer   % HISTORIC NUMBER OF JUDICIAL INCIDENCES
@attribute NUMBER_JUDICIAL_INCIDENCES_YEAR integer   % NUMBER OF JUDICIAL INCIDENCES (LAST YEAR)
@attribute SPENT_JUDICIAL_INCIDENCES_TOTAL numeric   % HISTORIC AMOUNT OF MONEY SPENT ON JUDICIAL INCIDENCES
@attribute SPENT_JUDICIAL_INCIDENCES_YEAR numeric   % AMOUNT OF MONEY SPENT ON JUDICIAL INCIDENCES (LAST YEAR)
@attribute NUMBER_SERIOUS_INCIDENCES integer   % HISTORIC NUMBER OF SERIOUS INCIDENCES
@attribute AUDITED {no,yes}   % AUDITED
@attribute AUDITORS_OPINION {nothing,positive,minor,negative}   % OPINION OF THE AUDITORY
@attribute BANKRUPTCY {NO,YES}   % FINANCIAL FAILURE

@data
1998,small,9,8,Ltd,no,4,46,0,0.517392039299,4.399003028870,0.184955596924,5.836396694183,0.155059739947,1.171338558197,4.220695972443,0.087083496153,20.411205291748,7.589736938477,7.556575775146,1.790362477303,3.617763042450,10.319787979126,1.275600075722,1.003678679466,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,0,0,Ltd,no,3,8,0,0.000000000000,1.049259781837,0.022987792268,8.348544120789,0.104414798319,1.119781374931,-2.849337339401,-0.024352479726,-20.330776214600,-2.169769287109,-4.035338401794,1.416237473488,2.167257308960,4.503329753876,1.116921782494,0.754731237888,no,0,0,0.00,0.00,0,no,nothing,NO
1998,medium,111,46,Co,no,10,8,1,0.937118709087,10.796364784241,0.210172280669,0.543142616749,0.642474710941,2.841136932373,6.515510559082,0.369901984930,5.861000061035,7.688550949097,7.015420436859,1.076726198196,3.514942407608,2.089519262314,4.535936355591,1.973323702812,no,0,0,0.00,0.00,0,yes,positive,NO
1998,small,0,25,Co,no,29,28,2,0.467505633831,0.000000000000,0.000287444214,-1.045272707939,-15.353134155273,0.043311882764,-2204.726806640620,-0.001039124560,-0.119640082121,-2.610039234161,-4.326301574707,0.001962284790,0.007016711868,,0.024148138240,0.024148138240,no,1,0,548.83,0.00,0,yes,nothing,YES
1998,small,14,18,Co,no,3,46,2,0.013614445925,8.256751060486,0.041008695960,3.097005605698,0.119731493294,1.322892546654,6.616930007935,0.105673871934,12.835907936096,10.397377967834,9.270817756653,1.401075363159,3.308021068573,3.412410259247,1.160548329353,0.687373936176,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,small,14,31,Ltd,no,3,3,0,0.045026399195,4.056834220886,0.284932434559,0.769599378109,0.164879739285,2.299377441406,5.802646160126,0.267091482878,10.428651809692,9.968623161316,9.743795394897,1.679198503494,4.374018192291,9.111953735352,1.396191120148,1.076947689056,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,1,6,Ltd,no,3,8,2,0.019553761929,4.105123519897,0.087379410863,4.454788208008,0.154500871897,1.224477529526,4.376455307007,0.110145285726,42.329555511475,14.384807586670,15.937560081482,3.641659736633,4.350543975830,69.659301757813,1.192882061005,1.130640745163,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,27,9,Co,no,5,8,1,0.703798174858,0.907698631287,0.005544444080,4.587727069855,0.184501469135,1.217972874641,-0.080459065735,0.089250691235,1.845059275627,1.062458515167,-0.128279343247,1.594342947006,11.559871673584,2.965849637985,1.382873773575,0.011796876788,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,25,32,Co,no,1,8,0,0.388227134943,1.329903960228,0.276044756174,1.722676873207,0.417493700981,1.580491900444,1.304911136627,0.072904579341,4.408993244171,2.503022909164,2.503022909164,1.918156027794,4.981687068939,5.140700340271,1.916015386581,1.297316670418,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,9,4,Ltd,no,2,3,0,0.336804449558,7.626039028168,0.323411077261,4.592946052551,-0.036002580076,1.217725157738,3.541775703430,0.264674365520,142.134307861328,21.591220855713,7.640404701233,2.157224416733,6.110511779785,13.542181968689,0.941392838955,0.784300923347,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,23,1,Ltd,no,2,3,1,0.025140609592,4.527981758118,0.036076907068,5.341760158539,-0.006057032850,1.187204241753,2.796136856079,0.059520538896,3.955848693848,4.736461162567,4.285336971283,1.532591938972,3.116403818130,5.362660408020,0.992628276348,0.640138864517,no,0,0,0.00,0.00,0,no,nothing,NO
1998,medium,78,7,Co,no,8,8,2,0.000000000000,18.182430267334,0.040819186717,2.012141227722,-0.386937826872,1.496982932091,1.901645779610,0.391627609730,-3.533863544464,10.226172447205,4.024139404297,2.116135358810,29.931343078613,13.989300727844,0.420760661364,0.213989585638,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,medium,97,49,Co,no,5,8,1,0.000000000000,24.464309692383,0.524923324585,0.368076443672,0.227356597781,3.716826915741,-3.109123468399,-1.707572340965,-98.193840026855,-0.748369753361,-4.067446708679,1.308229327202,7.203320503235,26.009525299072,1.845045089722,1.651884794235,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,small,28,24,Co,no,7,2,2,0.000000000000,1.131296038628,0.432201594114,0.058800216764,0.571906983852,18.006740570068,-38.376533508301,4.275207042694,23.062961578369,21.610960006714,-15.244817733765,0.397243261337,3.011563062668,7.826263427734,11.298179626465,10.607509613037,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,small,0,6,Ltd,no,2,7,1,0.228396400809,4.479017734528,0.114813029766,1.609397888184,0.034771233797,1.621350407600,7.886360645294,0.155655428767,18.842981338501,12.462249755859,12.195898056030,1.546454548836,7.108956336975,5.400844573975,1.069252490997,0.546295940876,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,33,10,Ltd,no,2,3,1,0.000000000000,0.727061331272,1.601010203362,0.273924082518,0.324379444122,4.650646686554,11.738329887390,1.830926895142,28.286525726318,31.040956497192,26.685165405273,2.273335933685,14.793033599854,47.369598388672,2.508574247360,2.312472343445,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,11,3,Ltd,no,3,3,1,0.191694527864,7.987294197083,0.099218480289,12.130476951599,0.111076496542,1.082437038422,1.999265551567,0.028629448265,11.610544204712,8.739369392395,5.067378520966,2.534620285034,5.327667236328,7.444863319397,1.143281340599,0.712900400162,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,0,0,Ltd,no,2,46,0,0.000000000000,0.000000000000,25.717113494873,0.009519289248,0.990570485592,106.049865722656,,-3.722036838531,-3.543114662170,-3.509704589844,-3.509871959686,0.000000000000,0.000000000000,,106.049865722656,106.049865722656,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,71,24,Co,no,15,46,0,0.342944622040,4.203739166260,0.012129864655,4.944004535675,0.054917342961,1.202265143394,5.372153759003,0.089884117246,20.970190048218,8.357296943665,5.648046970367,1.051356196404,2.755733489990,2.940527439117,1.088668227196,0.597703158855,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,small,0,18,Ltd,no,3,36,0,0.146241158247,2.330987930298,0.138404011726,2.088006734848,0.220634162426,1.478925704956,3.745835065842,0.114201441407,13.796268463135,7.373928546906,7.160203933716,1.911510825157,4.378099918365,5.636689186096,1.374020218849,0.816825091839,no,0,0,0.00,0.00,0,no,nothing,NO
